type,name,url,app_id,seed_policy_url
website,contacthelp-com,https://contacthelp.com/,,https://www.contacthelp.com/privacy-policy
website,flextronics-com,https://flextronics.com/,,https://flex.com/privacy-policy
website,localreputationreport-com,https://localreputationreport.com/,,http://www.godaddy.com/agreements/ShowDoc.aspx?pageid=privacy_parkedpage
website,freeurllink-com,https://freeurllink.com/,,http://www.freeurllink.com/privacy_policy.htm
website,fashionbloginc-com,https://fashionbloginc.com/,,http://www.marquisoffashion.com/privacy
website,smash-gg,https://smash.gg/,,https://smash.gg/about/privacy
website,plugim-com,https://plugim.com/,,http://www.plugim.com/privacy
website,thetopspace-com,https://thetopspace.com/,,http://thetopspace.com/index.php/Table/Privacy-Policy
website,beautycarechoices-com,https://beautycarechoices.com/,,http://www.beautycarechoices.com/about/terms.php
website,khl-com,https://khl.com/,,https://www.khl.com/privacy-policy
website,bookrenter-com,https://bookrenter.com/,,http://www.bookrenter.com/help.php?section=business
website,cricket-365-co-in,https://cricket-365.co.in/,,http://ww4.cricket-365.co.in/privacy_policy.php
website,pwcgov-org,https://pwcgov.org/,,http://www.pwcgov.org/common/privacy.htm
website,thegreatmovie-com,https://thegreatmovie.com/,,http://www.godaddy.com/agreements/ShowDoc.aspx?pageid=privacy_parkedpage
website,plot-generator-org-uk,https://plot-generator.org.uk/,,https://masterpiece-generator.org.uk/data-protection-and-privacy
website,autoclipping-com,https://autoclipping.com/,,https://autoclipping.com/privacy-policy
website,thevideoink-com,https://thevideoink.com/,,https://thevideoink.com/privacy-policy
website,imgbox-com,https://imgbox.com/,,https://imgbox.com/privacy
website,sksawi-info,https://sksawi.info/,,http://ww43.sksawi.info/privacy_policy.php
website,allsaints-com,https://allsaints.com/,,https://www.allsaints.com/privacy_policy
website,valleyvet-com,https://valleyvet.com/,,https://www.valleyvet.com/si_privacy.html
website,coolpinoysites-com,https://coolpinoysites.com/,,http://www.cheflogrorecipes.com/privacy-policy
website,idp-com,https://idp.com/,,https://www.idp.com/global/privacy-policy
website,downloadpost-com,https://downloadpost.com/,,http://www.downloadpost.com/pg_privacy.html
website,aqworlds-com,https://aqworlds.com/,,https://www.artix.com/policy-privacy
website,gamez4tops-com,https://gamez4tops.com/,,http://gamez4tops.com/privacy.html
website,anjolee-com,https://anjolee.com/,,http://www.anjolee.com/PrivacyPolicy.aspx
website,keynote-com,https://keynote.com/,,https://policies.google.com/privacy
website,joker-com,https://joker.com/,,https://joker.com/index.joker?mode=page&page=impressum#privacy
website,never-no,https://never.no/,,http://never.no/privacy-policy
website,irelease-org,https://irelease.org/,,http://irelease.org/privacy-policy
website,eatthis-today,https://eatthis.today/,,http://eatthis.today/privacy-policy
website,e-7-net,https://e-7.net/,,http://www.godaddy.com/agreements/ShowDoc.aspx?pageid=privacy_parkedpage
