label_order,target_id,target_type,doc_id,role,url,predicted_medium,predicted_relevant,predicted_evidence,gold_relevant,notes
1,play_store_app__unicornmirror,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=pl.netigen.unicornmirror.unicornmirror&hl=en&gl=US,,0,,0,dead link
1,play_store_app__unicornmirror,play_store_app,privacy_policy-02,privacy_policy,https://www.netigen.pl/privacy,prose,1,"NETIGEN Kluzowicz respect your privacy and are committed to protecting it through our compliance with this Policy. Generally, by providing us with personal information, we will assume that you cons...",1,
2,play_store_app__timestribune,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.spreedinc.providers.timesshamrockcommunications.timestribune&hl=en&gl=US,structured,1,store-listing data-safety card (mirrors play_data_safety),1,
2,play_store_app__timestribune,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.spreedinc.providers.timesshamrockcommunications.timestribune&hl=en&gl=US,structured,1,Data shared,1,possibly redundant with above one
2,play_store_app__timestribune,play_store_app,privacy_policy-02,privacy_policy,https://www.timesshamrock.com/policy.html#General,prose,1,Privacy Policy | Opinion Posting Policy | About our ads Your privacy on the Internet is of the utmost importance to us. Because we gather certain types of information about the users of Times-Shamr...,1,
3,website__desenvolvimentodesites-net,website,privacy_policy-00,privacy_policy,https://newfold.com/privacy-center,prose,1,Security and privacy are at the core of our business practices and product offerings; we care deeply about protecting the personal information of our customers and website visitors. Our goal is to ...,1,
3,website__desenvolvimentodesites-net,website,subprocessor_list-01,subprocessor_list,https://desenvolvimentodesites.net/subprocessors,,0,,0,site expired
3,website__desenvolvimentodesites-net,website,vendor_list-02,vendor_list,https://newfold.com/privacy-center/third-party-data,structured,1,medium=structured,1,
3,website__desenvolvimentodesites-net,website,do_not_sell-03,do_not_sell,https://www.newfold.com/privacy-center/addendum-for-california-users,prose,1,Request certain information regarding the opt out of our disclosure of your personal information to third parties.,1,
4,data_broker__beeswaxio-corporation,data_broker,privacy_policy-00,privacy_policy,https://www.beeswax.com/privacy/,prose,1,"Beeswax Inc. (“Beeswax”, “we”, “us”, or “our”) is an advertising technology platform headquartered in New York City. We respect your right to privacy. We are providing this services privacy policy ...",1,
4,data_broker__beeswaxio-corporation,data_broker,cookie_policy-02,cookie_policy,https://www.beeswax.com/cookies/,prose,1,"Origin and Relationship: Cookies are often subcategorized as 1st or 3rd party in relation to a visitor to a website. In general, a first party cookie is a cookie from the domain (website) that you ...",1,
5,data_broker__ad-insertion-platform-sarl,data_broker,privacy_policy-00,privacy_policy,https://www.adinsertplatform.com/privacy.html,prose,1,"No cookies, no device storage. Our infrastructure services do not set or read cookies and do not store or access any information on user devices. Our device storage disclosure file is published at ...",1,
5,data_broker__ad-insertion-platform-sarl,data_broker,ads_txt-21,ads_txt,https://www.adinsertplatform.com/ads.txt,machine_readable,1,registry enumerates 51 named vendor(s),1,
5,data_broker__ad-insertion-platform-sarl,data_broker,sellers_json-22,sellers_json,https://www.adinsertplatform.com/sellers.json,machine_readable,1,registry enumerates 23 named vendor(s),1,
6,app_store_app__worldcupmatching,app_store_app,privacy_policy-00,privacy_policy,https://postbeta.com/pages/privacy.php,prose,1,"We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site. These companies may use non-personally identifiable information (e.g., click st...",1,
7,data_broker__teavaro,data_broker,privacy_policy-00,privacy_policy,https://teavaro.com/privacy-policy,prose,1,"Any Other Informationor comment you choose to share publicly on the services, for example, anything you post as a comment or part of a form submission.",1,
7,data_broker__teavaro,data_broker,cookie_policy-01,cookie_policy,https://teavaro.com/cookie-policy,structured,1,Description HubSpot sets this cookie to keep track of sessions and to determine if HubSpot should increment the session number and timestamps in the __hstc cookie.,1,
8,play_store_app__t211804678,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.launcher.theme.t211804678&hl=en&gl=US,,0,,0,dead link
8,play_store_app__t211804678,play_store_app,privacy_policy-02,privacy_policy,https://www.cmcm.com/en/policies/privacy-policy?hl=en,prose,1,"This Privacy Policy (the “Policy”) describes how Cheetah Mobile Inc and its affiliates. (also referred to as “Cheetah,” “Company,” “we,” “us,” or “our”), collects, stores, uses and protects your in...",1,
8,play_store_app__t211804678,play_store_app,app_ads_txt-03,app_ads_txt,https://www.cmcm.com/app-ads.txt,machine_readable,1,registry enumerates 199 named vendor(s),1,
9,play_store_app__apps,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.BG.offroad.quad.drive.simulator.apps&hl=en&gl=US,,0,,0,dead link
9,play_store_app__apps,play_store_app,privacy_policy-02,privacy_policy,https://brandgamers.wordpress.com/privacy-policy/,prose,1,Brand Gamers its subsidiaries and its affiliates (“Company” or “We” or “Us” or “Our”) respect the privacy of its users (“User” or “You”). We are committed to protect our User’s Information. We beli...,1,
10,play_store_app__gamesart,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=howto.draw.book.coloring.beyblade.gamesart&hl=en&gl=US,,0,,0,dead link
10,play_store_app__gamesart,play_store_app,privacy_policy-02,privacy_policy,https://sites.google.com/view/how-draw-coloring-book-art,prose,1,How to Draw Coloring Book New Games Art may use tools or third party analytical software to automatically collect and use certain non-personal data that does not directly enable How to Draw Colorin...,1,Challenging wording
11,app_store_app__nylecollection,app_store_app,privacy_policy-00,privacy_policy,https://www.hugedomains.com/domain_profile.cfm?d=gentacart.com,prose,0,"HugeDomains provides a 100% satisfaction guarantee on every domain name that we sell through our website. If you buy a domain and are unhappy with it, we will accept the return within 30 days and i...",0,dead link
12,play_store_app__anagram,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.pinkpointer.anagram&hl=en&gl=US,,0,,1,"relevant document, though disclaims all sharing so relevancy = 0 is also okay."
12,play_store_app__anagram,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.pinkpointer.anagram&hl=en&gl=US,,0,,1,"relevant document, though disclaims all sharing so relevancy = 0 is also okay. Possibly redundant with above one"
12,play_store_app__anagram,play_store_app,privacy_policy-02,privacy_policy,http://www.pinkpointer.com/privacy.html,prose,1,Access to third party services' accounts Facebook account access Permissions: List of Friends Advertising AdMob Personal Data: Cookies; unique device identifiers for advertising (Google Advertiser ...,1,
12,play_store_app__anagram,play_store_app,app_ads_txt-03,app_ads_txt,http://www.pinkpointer.com/app-ads.txt,machine_readable,1,registry enumerates 95 named vendor(s),1,
13,play_store_app__videovk,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.mad.videovk&hl=en&gl=US,structured,1,store-listing data-safety card (mirrors play_data_safety),1,
13,play_store_app__videovk,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.mad.videovk&hl=en&gl=US,structured,1,Data shared,1,possibly redundant with above one
13,play_store_app__videovk,play_store_app,privacy_policy-02,privacy_policy,https://madapps.com.ua/legal/privacy-vkvideo,prose,1,"This Privacy Policy describes Our policies and procedures on the collection, use, and disclosure of Your information when You use the Service and tells You about Your privacy rights and how the law...",1,
