label_order,target_id,target_type,doc_id,role,url,predicted_medium,predicted_doc_facets,predicted_target_class,gold_facets,notes
1,play_store_app__unicornmirror,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=pl.netigen.unicornmirror.unicornmirror&hl=en&gl=US,,,prose:named;prose:category;prose:generic,,
1,play_store_app__unicornmirror,play_store_app,privacy_policy-02,privacy_policy,https://www.netigen.pl/privacy,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
2,play_store_app__timestribune,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.spreedinc.providers.timesshamrockcommunications.timestribune&hl=en&gl=US,structured,structured:generic,prose:named;prose:category;prose:generic;structured:generic,structured:generic,
2,play_store_app__timestribune,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.spreedinc.providers.timesshamrockcommunications.timestribune&hl=en&gl=US,structured,structured:generic,prose:named;prose:category;prose:generic;structured:generic,structured:generic,
2,play_store_app__timestribune,play_store_app,privacy_policy-02,privacy_policy,https://www.timesshamrock.com/policy.html#General,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;structured:generic,prose:named;prose:category;prose:generic,
3,website__desenvolvimentodesites-net,website,privacy_policy-00,privacy_policy,https://newfold.com/privacy-center,prose,prose:category,prose:named;prose:category;prose:generic;structured:named,prose:category,
3,website__desenvolvimentodesites-net,website,subprocessor_list-01,subprocessor_list,https://desenvolvimentodesites.net/subprocessors,,,prose:named;prose:category;prose:generic;structured:named,,
3,website__desenvolvimentodesites-net,website,vendor_list-02,vendor_list,https://newfold.com/privacy-center/third-party-data,structured,structured:named,prose:named;prose:category;prose:generic;structured:named,structured:named,
3,website__desenvolvimentodesites-net,website,do_not_sell-03,do_not_sell,https://www.newfold.com/privacy-center/addendum-for-california-users,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;structured:named,prose:named;prose:category;prose:generic,
4,data_broker__beeswaxio-corporation,data_broker,privacy_policy-00,privacy_policy,https://www.beeswax.com/privacy/,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:category;prose:generic,
4,data_broker__beeswaxio-corporation,data_broker,cookie_policy-02,cookie_policy,https://www.beeswax.com/cookies/,prose,prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:generic,"""structured"" could also be argued given that the primary relevant information relating to third parties is in a structured table."
5,data_broker__ad-insertion-platform-sarl,data_broker,privacy_policy-00,privacy_policy,https://www.adinsertplatform.com/privacy.html,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;machine_readable:named,prose:named;prose:category;prose:generic,
5,data_broker__ad-insertion-platform-sarl,data_broker,ads_txt-21,ads_txt,https://www.adinsertplatform.com/ads.txt,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;machine_readable:named,machine_readable:named,
5,data_broker__ad-insertion-platform-sarl,data_broker,sellers_json-22,sellers_json,https://www.adinsertplatform.com/sellers.json,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;machine_readable:named,machine_readable:named,
6,app_store_app__worldcupmatching,app_store_app,privacy_policy-00,privacy_policy,https://postbeta.com/pages/privacy.php,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
7,data_broker__teavaro,data_broker,privacy_policy-00,privacy_policy,https://teavaro.com/privacy-policy,prose,prose:category,prose:category;structured:named;structured:category;structured:generic,prose:category,
7,data_broker__teavaro,data_broker,cookie_policy-01,cookie_policy,https://teavaro.com/cookie-policy,structured,structured:named;structured:category;structured:generic,prose:category;structured:named;structured:category;structured:generic,structured:named;structured:category;structured:generic,
8,play_store_app__t211804678,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.launcher.theme.t211804678&hl=en&gl=US,,,prose:named;prose:category;prose:generic;machine_readable:named,,
8,play_store_app__t211804678,play_store_app,privacy_policy-02,privacy_policy,https://www.cmcm.com/en/policies/privacy-policy?hl=en,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;machine_readable:named,prose:named;prose:category;prose:generic,
8,play_store_app__t211804678,play_store_app,app_ads_txt-03,app_ads_txt,https://www.cmcm.com/app-ads.txt,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;machine_readable:named,machine_readable:named,
9,play_store_app__apps,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.BG.offroad.quad.drive.simulator.apps&hl=en&gl=US,,,prose:named;prose:category;prose:generic,,
9,play_store_app__apps,play_store_app,privacy_policy-02,privacy_policy,https://brandgamers.wordpress.com/privacy-policy/,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
10,play_store_app__gamesart,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=howto.draw.book.coloring.beyblade.gamesart&hl=en&gl=US,,,prose:category;prose:generic,,
10,play_store_app__gamesart,play_store_app,privacy_policy-02,privacy_policy,https://sites.google.com/view/how-draw-coloring-book-art,prose,prose:category;prose:generic,prose:category;prose:generic,prose:category;prose:generic,
11,app_store_app__nylecollection,app_store_app,privacy_policy-00,privacy_policy,https://www.hugedomains.com/domain_profile.cfm?d=gentacart.com,prose,,,,
12,play_store_app__anagram,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.pinkpointer.anagram&hl=en&gl=US,,,prose:named;prose:category;prose:generic;machine_readable:named,,
12,play_store_app__anagram,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.pinkpointer.anagram&hl=en&gl=US,,,prose:named;prose:category;prose:generic;machine_readable:named,,
12,play_store_app__anagram,play_store_app,privacy_policy-02,privacy_policy,http://www.pinkpointer.com/privacy.html,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;machine_readable:named,prose:named;prose:category;prose:generic,
12,play_store_app__anagram,play_store_app,app_ads_txt-03,app_ads_txt,http://www.pinkpointer.com/app-ads.txt,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;machine_readable:named,machine_readable:named,
13,play_store_app__videovk,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.mad.videovk&hl=en&gl=US,structured,structured:generic,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,structured:generic,
13,play_store_app__videovk,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.mad.videovk&hl=en&gl=US,structured,structured:generic,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,structured:generic,
13,play_store_app__videovk,play_store_app,privacy_policy-02,privacy_policy,https://madapps.com.ua/legal/privacy-vkvideo,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,prose:named;prose:category;prose:generic,
13,play_store_app__videovk,play_store_app,app_ads_txt-03,app_ads_txt,https://madapps.com.ua/app-ads.txt,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,machine_readable:named,
14,play_store_app__recorder,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.mawges.hipxel.wav.recorder&hl=en&gl=US,,,prose:named;prose:generic;machine_readable:named,,
